,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-05-27T00:00:00.000Z,132.045,132.26,130.05,130.34,45833246,29.8254116983,29.8739744119,29.3747948909,29.4402980859,183332984,0.0,1.0
1,2015-05-28T00:00:00.000Z,131.78,131.95,131.1,131.86,30733309,29.7655553304,29.8039537551,29.6119616316,29.7836251773,122933236,0.0,1.0
2,2015-05-29T00:00:00.000Z,130.28,131.45,129.9,131.23,50884452,29.4267457008,29.6910172119,29.3409139279,29.6413251329,203537808,0.0,1.0
3,2015-06-01T00:00:00.000Z,130.535,131.39,130.05,131.2,32112797,29.4843433378,29.6774648267,29.3747948909,29.6345489403,128451188,0.0,1.0
4,2015-06-02T00:00:00.000Z,129.96,130.655,129.32,129.86,33667627,29.3544663131,29.5114481082,29.2099075378,29.3318790045,134670508,0.0,1.0
5,2015-06-03T00:00:00.000Z,130.12,130.94,129.9,130.66,30983542,29.3906060069,29.5758219378,29.3409139279,29.5125774736,123934168,0.0,1.0
6,2015-06-04T00:00:00.000Z,129.36,130.58,128.91,129.58,38450118,29.2189424612,29.4945076267,29.1172995723,29.2686345403,153800472,0.0,1.0
7,2015-06-05T00:00:00.000Z,128.65,129.69,128.36,129.5,35626800,29.0585725699,29.2934805798,28.9930693748,29.2505646933,142507200,0.0,1.0
8,2015-06-08T00:00:00.000Z,127.8,129.21,126.83,128.9,52674786,28.8665804464,29.1850614983,28.6474835526,29.1150408415,210699144,0.0,1.0
9,2015-06-09T00:00:00.000Z,127.42,128.08,125.62,126.7,56075420,28.7807486736,28.9298249106,28.374177118,28.6181200513,224301680,0.0,1.0
10,2015-06-10T00:00:00.000Z,128.88,129.34,127.85,127.92,39087250,29.1105233798,29.2144249995,28.8778741007,28.8936852168,156349000,0.0,1.0
11,2015-06-11T00:00:00.000Z,128.59,130.18,128.475,129.18,35390887,29.0450201847,29.4041583921,29.0190447797,29.1782853057,141563548,0.0,1.0
12,2015-06-12T00:00:00.000Z,127.17,128.33,127.11,128.185,36886246,28.7242804019,28.9862931822,28.7107280168,28.9535415847,147544984,0.0,1.0
13,2015-06-15T00:00:00.000Z,126.92,127.24,125.71,126.1,43988946,28.6678121303,28.740091518,28.3945056958,28.4825961995,175955784,0.0,1.0
14,2015-06-16T00:00:00.000Z,127.6,127.85,126.37,127.03,31494131,28.8214058291,28.8778741007,28.5435819328,28.6926581698,125976524,0.0,1.0
